,cwgp_combination,result
116,"(('sa', 3), ('sa', 1), ('box_cox', 1))","(0.0036396448207604492, 0.004570002627538909)"
117,"(('sa', 3), ('sa', 1), ('box_cox', 2))","(0.0034363038314172817, 0.004345201147965821)"
118,"(('sa', 3), ('sa', 1), ('box_cox', 3))","(0.0033371843166630022, 0.004202809446183257)"
119,"(('sa', 3), ('sa', 2), ('sa', 1))","(0.003456773581299608, 0.004399255165337709)"
120,"(('sa', 3), ('sa', 2), ('sal', 1))","(0.004797468403667008, 0.005474030442931692)"
121,"(('sa', 3), ('sa', 2), ('sal', 2))","(0.0031112291115028717, 0.004177025414506391)"
122,"(('sa', 3), ('sa', 2), ('sal', 3))","(0.0030529126435713577, 0.004137329085474139)"
123,"(('sa', 3), ('sa', 2), ('box_cox', 1))","(0.003639647444854082, 0.004570004293224112)"
124,"(('sa', 3), ('sa', 2), ('box_cox', 2))","(0.003436298847017492, 0.00434519672039942)"
125,"(('sa', 3), ('sa', 2), ('box_cox', 3))","(0.003337288545145605, 0.004202914028763303)"
126,"(('sa', 3), ('sal', 1), ('sa', 1))","(0.004769975268115028, 0.005451985556560291)"
127,"(('sa', 3), ('sal', 1), ('sa', 2))","(0.004770023942035652, 0.005452026470500635)"
128,"(('sa', 3), ('sal', 1), ('sal', 2))","(0.003258923396022192, 0.0043327163360751195)"
129,"(('sa', 3), ('sal', 1), ('sal', 3))","(0.003506616183225076, 0.00445352175715863)"
130,"(('sa', 3), ('sal', 1), ('box_cox', 1))","(0.004567397936306343, 0.005277585419924263)"
131,"(('sa', 3), ('sal', 1), ('box_cox', 2))","(0.004490371760915197, 0.00522122187127365)"
132,"(('sa', 3), ('sal', 1), ('box_cox', 3))","(0.004145875085272608, 0.0049158486217246045)"
133,"(('sa', 3), ('sal', 2), ('sa', 1))","(0.04430461551074658, 0.04642207405596871)"
134,"(('sa', 3), ('sal', 2), ('sa', 2))","(0.0034682598439159224, 0.004466060800200668)"
135,"(('sa', 3), ('sal', 2), ('sal', 1))","(0.0036320188638298396, 0.004628236745991174)"
136,"(('sa', 3), ('sal', 2), ('sal', 3))","(0.0031567801632293208, 0.0036793673253048722)"
137,"(('sa', 3), ('sal', 2), ('box_cox', 1))","(0.0031672943590857483, 0.004253567965383289)"
138,"(('sa', 3), ('sal', 2), ('box_cox', 2))","(0.0029926822331502894, 0.003976608413462711)"
139,"(('sa', 3), ('sal', 2), ('box_cox', 3))","(0.009115826409235698, 0.009315196207548122)"
140,"(('sa', 3), ('sal', 3), ('sa', 1))","(0.0033672951470463636, 0.004387279469206204)"
141,"(('sa', 3), ('sal', 3), ('sa', 2))","(0.00312923779129824, 0.0036869747579835947)"
142,"(('sa', 3), ('sal', 3), ('sal', 1))","(0.0034959255246322374, 0.0044677385682827895)"
143,"(('sa', 3), ('sal', 3), ('sal', 2))","(0.003236398419762151, 0.0038852148638715833)"
144,"(('sa', 3), ('sal', 3), ('box_cox', 1))","(0.0037112241794546507, 0.004669893737164358)"
145,"(('sa', 3), ('sal', 3), ('box_cox', 2))","(0.003058248559384092, 0.003978383244442404)"
146,"(('sa', 3), ('sal', 3), ('box_cox', 3))","(0.003094257895651522, 0.003577477620069446)"
147,"(('sa', 3), ('box_cox', 1), ('sa', 1))","(0.0032254982188750342, 0.004152809356916957)"
148,"(('sa', 3), ('box_cox', 1), ('sa', 2))","(0.0032255064387035188, 0.004152815930781391)"
149,"(('sa', 3), ('box_cox', 1), ('sal', 1))","(0.004091810056499842, 0.004957248117014952)"
150,"(('sa', 3), ('box_cox', 1), ('sal', 2))","(0.0030708776491576916, 0.0038414089055729232)"
151,"(('sa', 3), ('box_cox', 1), ('sal', 3))","(0.002971116368939589, 0.004046745901059033)"
152,"(('sa', 3), ('box_cox', 1), ('box_cox', 2))","(0.003723877255441242, 0.004572937704125097)"
153,"(('sa', 3), ('box_cox', 1), ('box_cox', 3))","(0.003922531171372562, 0.004700491820956309)"
154,"(('sa', 3), ('box_cox', 2), ('sa', 1))","(0.002796976099029569, 0.003746109077674396)"
155,"(('sa', 3), ('box_cox', 2), ('sa', 2))","(0.0027969715629114805, 0.0037461048541197637)"
156,"(('sa', 3), ('box_cox', 2), ('sal', 1))","(0.0036020475023255394, 0.004567285347872842)"
157,"(('sa', 3), ('box_cox', 2), ('sal', 2))","(0.012042171092531294, 0.012828205065334445)"
158,"(('sa', 3), ('box_cox', 2), ('sal', 3))","(0.10289676483641373, 0.1029917141054401)"
159,"(('sa', 3), ('box_cox', 2), ('box_cox', 1))","(0.003436309802939741, 0.004309463118393212)"
160,"(('sa', 3), ('box_cox', 2), ('box_cox', 3))","(0.00388631027250283, 0.004644751803339134)"
161,"(('sa', 3), ('box_cox', 3), ('sa', 1))","(0.002563397164822595, 0.0035010246512782637)"
162,"(('sa', 3), ('box_cox', 3), ('sa', 2))","(0.0025634058536978216, 0.0035010410154462223)"
163,"(('sa', 3), ('box_cox', 3), ('sal', 1))","(0.003513210771486086, 0.004489210248796488)"
164,"(('sa', 3), ('box_cox', 3), ('sal', 2))","(0.1363259443604409, 0.1363976248559428)"
165,"(('sa', 3), ('box_cox', 3), ('sal', 3))","(0.003015425734714896, 0.003669834460582157)"
166,"(('sa', 3), ('box_cox', 3), ('box_cox', 1))","(0.003362934867606015, 0.004204540980041921)"
167,"(('sa', 3), ('box_cox', 3), ('box_cox', 2))","(0.0036162655490626716, 0.004420748977643444)"
168,"(('sal', 1), ('sa', 1), ('sa', 2))","(0.005032474474481455, 0.00569258922309085)"
169,"(('sal', 1), ('sa', 1), ('sa', 3))","(0.005019279997291967, 0.005682312102841652)"
170,"(('sal', 1), ('sa', 1), ('sal', 2))","(0.0029996093969667714, 0.004033683513700022)"
171,"(('sal', 1), ('sa', 1), ('sal', 3))","(0.004102734149395469, 0.004923804546506803)"
172,"(('sal', 1), ('sa', 1), ('box_cox', 1))","(0.004589745487101444, 0.005295909024925852)"
173,"(('sal', 1), ('sa', 1), ('box_cox', 2))","(0.004488677541013624, 0.0052212512181038255)"
174,"(('sal', 1), ('sa', 1), ('box_cox', 3))","(0.005774354777553036, 0.006246790675828521)"
175,"(('sal', 1), ('sa', 2), ('sa', 1))","(0.005023201458490377, 0.005685591420759392)"
176,"(('sal', 1), ('sa', 2), ('sa', 3))","(0.004769912798692683, 0.005451931806246734)"
177,"(('sal', 1), ('sa', 2), ('sal', 2))","(0.0031893782412240057, 0.004245991020591059)"
178,"(('sal', 1), ('sa', 2), ('sal', 3))","(0.0028363361354552885, 0.003702738962443885)"
179,"(('sal', 1), ('sa', 2), ('box_cox', 1))","(0.005666216153190974, 0.006180782788776349)"
180,"(('sal', 1), ('sa', 2), ('box_cox', 2))","(0.004487278910225252, 0.005220254706850835)"
181,"(('sal', 1), ('sa', 2), ('box_cox', 3))","(0.005356344793522975, 0.005890015369867713)"
182,"(('sal', 1), ('sa', 3), ('sa', 1))","(0.005033327830601707, 0.005693448843741306)"
183,"(('sal', 1), ('sa', 3), ('sa', 2))","(0.005027763324517455, 0.005689180718720708)"
184,"(('sal', 1), ('sa', 3), ('sal', 2))","(0.0030084147108614045, 0.00401647561789309)"
